FrontEnd,,Assignee,Status,Deadline,Comment
Загальна інформація,,Serhii Mishovych,🐸,18.07.2025 19:00,
" - Точки перелому:
   • mobile: верстка гумова від 320px, стає адаптивною з 375px;
   • tablet: з 768px;
   • desktop: з 1440рх 
 - Верстка семантична

✔ Здійснити підключення шрифтів 
✔ Забезпечити оптимізацію розмірів статичної векторної та растрової графіки
✔ Забезпечити підтримку відображення статичних зображень для retina-екранів
✔ Оптимізувати завантаження зображень
✔ Всі svg-іконки підʼєднати через sprite
✔ Додати відображення фавікон сторінки
✔ UI Kit",,Serhii Mishovych,🐸,,
SharedLayout,,👽,🐸,,
"Компонент відмальовується на маршруті ""/"". Містить в собі Header та Footer і обгортає вкладені маршрути з їх відповідними 
сторінками",,👽,🐸,,
Header,,Andrii Mashtaler,🐸,,
"Компонент Header містить: 
- Logo
- Nav (для авторизованого користувача)
- AuthBar (для неавторизованого користувача) або UserBar (для авторизованого користувача)",,Andrii Mashtaler,🐸,,
"Для авторизованого користувача, потрібно реалізувати блок навігації з наступними маршрутами: 
- / - публічний, переадресовує на сторінку HomePage
- /add - приватний, переадресовує на сторінку AddRecipePage
На мобільній версії Nav відкривається за допомогою бургер-меню, що виїжджає справа та має розміри viewportу 
пристрою користувача",Nav,Andrii Mashtaler,🐸,,
"Компонент, який відображає логотип застосунку і є клікабельним, переадресовує користувача на сторінку HomePage",Logo,Andrii Mashtaler,🐸,,
"Компонент містить 2 кнопки типу ""button"":
- Sign in - по clickу на яку має відкриватись модальне вікно Modal, що містить SignInModal
- Sign up - по clickу на яку має відкриватись модальне вікно Modal, що містить SignUpModal",AuthBar,Andrii Mashtaler,🐸,,
"Компонент складається з актуальної аватарки користувача та його імʼя. У разі випадку відсутності аватарки в користувача - має відмальовуватись зображення по замовчуванню.
По clickу на компонент має зʼявлятись випадаючий список з:
- посиланням Profile, що перенаправляє користувача на сторінку UserPage з інформацією про авторизованого користувача
- кнопкою типу ""button"" Log out, по clickу на яку має відкриватись модальне вікно Modal, що містить LogOutModal",UserBar,Andrii Mashtaler,🐸,,
Footer,,Andrii Mashtaler,🐸,,
"Компонент Footer містить: 
- Logo
- NetworkLinks
- Copyright",,Andrii Mashtaler,🐸,,
"Компонент, який відображає логотип застосунку і є клікабельним, переадресовує користувача на сторінку HomePage",Logo,Andrii Mashtaler,🐸,,
"Перелік посилань на соц. мережі компанії має бути реалізовано як список елементів за допомогою <ul>, що відкриватимуть у новій вкладці сторінку GoIT відповідної соц. мережі: 
✔ Facebook - https://www.facebook.com/goITclub/
✔ Instagram - https://www.instagram.com/goitclub/  
✔ YouTube - https://www.youtube.com/c/GoIT ",NetworkLinks,Andrii Mashtaler,🐸,,
"Містить текст: ""@2025, Foodies. All rights reserved""",Copyright,Andrii Mashtaler,🐸,,
"HomePage - публічний маршрут ""/""",,👽,🐸,,
"Сторінка містить: 
- Hero
- Categories
- Recipes
- Testimonials",,👽,🐸,,
"Компонент містить:
- основний заголовок застосунку
- підзаголовок
- кнопку типу ""button"" Add recipe, по clickу на яку 
  - неавторизованому користувачеві слід відкривати модальне вікно Modal, що містить SignInModal
  - авторизованого користувача слід перенаправити на сторінку AddRecipePage",Hero,👽,🐸,,
"Компонент містить:
- MainTitle - універсальний компонент, що відмальовує заголовок і використовується на різних сторінках застосунку
- Subtitle - універсальний компонент, що відмальовує підзаголовок і використовується на різних сторінках застосунку
- CategoryList ",Categories,Dina Khomenko,Doing,,
"Компонент містить перелік карток з категоріями рецептів, кожна з яких містить:
- зображення категорії
- її назву
- кнопку типу ""button"" у вигляді іконки-стрілки, по clickу на яку має відправлятись запит на backend за рецептами обраної користувачем категорії
   - якщо backend повернув помилку - необхідно її опрацювати і відобразити користувачеві у вигляді вспливаючого віконечка-notification
   - якщо запит на backend пройшов успішно і були отримані дані, то компонент Categories слід приховати, відмалювавши на його місці компонент Recipes",CategoryList,Dina Khomenko,Doing,,
"Компонент містить:
- кнопку типу ""button' Back, по clickу на яку компонент Categories має бути відмальовано, а компонент Recipes - приховано
- MainTitle - універсальний компонент, що відмальовує заголовок і використовується на різних сторінках застосунку
- Subtitle - універсальний компонент, що відмальовує підзаголовок і використовується на різних сторінках застосунку
- RecipeFilters
- RecipeList 
- RecipePagination",Recipes,👽,🐸,,
"Компонент містить:
- стилізований select (по clickу на який має зʼявлятись випадаючий список інгредієнтів, отриманий з backendа; з метою оптимізації запитів, перелік інгредієнтів слід зберігати в redux store для його подальшого використання) для вибору користувачем інгредієнта, за яким користувач хоче віднайти рецепти 
- стилізований select (по clickу на який має зʼявлятись випадаючий список регіонів походження страви, отриманий з backendа; з метою оптимізації запитів, список регіонів походження страви слід зберігати в redux store для його подальшого використання) для вибору користувачем регіону походження страви, за яким користувач хоче віднайти рецепти
При кожній зміні одного з selectів порядковий номер сторінки в RecipePagination має набувати початкового значення 1, після чого має відправлятись запит на backend з урахуванням усіх параметрів фільтрації та пагінації. По замовчуванню параметри фільтрації відсутні.",RecipeFilters,👽,🐸,,
"Компонент містить список рецептів, елементи якого є універсальним компонентом RecipeCard",RecipeList,👽,🐸,,
"Універсальний компонент, що містить:
 - зображення страви
 - назву рецепта
 - опис рецепта
 - інформацію про автора рецепта (що містить аватарку та його ім'я), яка  має бути реалізована у вигляді кнопки типу ""button"", по clickу на яку
   - неавторизованому користувачеві слід відкривати модальне вікно Modal, що містить SignInModal
   - авторизованого користувача слід перенаправити на сторінку UserPage з профілем автора 
 - кнопку типу ""button"" у вигляді іконки-серця, по clickу на яку користувач може або додати рецепт в список улюблених, або видалити з нього. Якщо цей рецепт вже додано до списку улюблених, іконка серця має підсвічуватись
 - кнопку типу ""button"" у вигляді іконки-стрілочки, по clickу на яку користувача має перенаправляти на сторінку RecipePage",RecipeCard,Ivan Yanchyk,Done,,
"Необхідно реалізувати ""серверну"" пагінацію, по clickу по порядковому номеру якої слід відправляти запит на backend  з урахуванням усіх параметрів фільтрації та пагінації. По замовчуванню порядковий номер сторінки має значення 1",RecipePagination,👽,🐸,,
"Компонент містить слайдер з відгуками користувачів, заздалегідь отриманих з backendу. Компонент складається з:
- підзаголовку секції
- заголовку секції
- слайдеру відгуків, кожен слайд якого містить:
      - текст відгуку
      - ім'я автора відгуку

Слайди відгуків перегортаються автоматично за заданим інтервалом часу. Користувачі також можуть вручну гортати слайдер за допомогою пагінації, розташованої під слайдером",Testimonials,Dina Khomenko,Doing,,
"RecipePage - публічний маршрут ""/recipe/:id""",,👽,🐸,,
"Сторінка містить:
- PathInfo - універсальний компонент, що відмальовує посилання на сторінку HomePage та назву сторінки, на якій перебуває 
користувач
- RecipeInfo 
- PopularRecipes",,👽,🐸,,
"Компонент містить детальну інформацію про рецепт, отриману з backendа. Для цього слід ще до відмалювання компоненту встановити id рецепта, по якому перейшов користувач на сторінку, та надіслати запит на backend. Компонент складається з:
- RecipeMainInfo
- RecipeIngredients
- RecipePreparation",RecipeInfo,👽,🐸,,
"Компонент отримує в пропсах дані та відмальовує:
- зображення рецепта
- назву страви
- категорію страв, до якої належить цей рецепт
- опис страви, що описана в рецепті
- інформацію про автора рецепта, що має бути реалізована у вигляді кнопки типу ""button"", по clickу на яку
   - неавторизованому користувачеві слід відкривати модальне вікно Modal, що містить SignInModal
   - авторизованого користувача слід перенаправити на сторінку UserPage з профілем автора ",RecipeMainInfo,👽,🐸,,
"Компонент отримує в пропсах дані та відмальовує список елементів, кожен з яких містить в собі:
- зображення інгредієнта або відповідний плейсхолдер
- назву інгредієнта
- його кількість",RecipeIngredients,👽,🐸,,
"Компонент отримує в пропсах дані та відмальовує:
- опис приготування страви
- кнопку типу ""button"" Add to favorites або Remove from favorites
Click по кнопці Add to favorites повинен виконувати запит і додавати даний рецепт в список улюблених рецептів користувача. Якщо такий рецепт вже є в списку улюблених, то на місці Add to favorites повинна бути кнопка Remove from favorites, click по котрій видаляє рецепт зі списку улюблених.",RecipePreparation,👽,🐸,,
"Компонент містить:
- заголовок секції
- список популярних рецептів, елементи якого є універсальним компонентом RecipeCard, описаний вище",PopularRecipes,👽,🐸,,
"AddRecipePage - приватний маршрут ""/recipe/add""",,👽,🐸,,
"Сторінка містить:
- PathInfo - універсальний компонент, що відмальовує посилання на сторінку HomePage та назву сторінки, на якій перебуває
користувач
- MainTitle - універсальний компонент, що відмальовує заголовок і використовується на різних сторінках застосунку
- Subtitle - універсальний компонент, що відмальовує підзаголовок і використовується на різних сторінках застосунку
- AddRecipeForm",,👽,🐸,,
"AddRecipeForm має бути реалізована за допомогою бібліотек react-hook-form (для управління станом форми) + Yup (для валідації форми), що надає можливість створити новий рецепт.
Форма містить:
 - input типу file для додавання фото рецепта. Для відмалювання тимчасового файлу з зображенням рецепта використовуйте URL.createObjectURL()
 - input для додавання назви рецепта
 - input для додавання його короткого опису з лічильником введених символів (обмеження не більш 200 символів)
 - стилізований select для додавання категорії рецепта (по clickу на який має зʼявлятись випадаючий список категорій, отриманих заздалегідь з backendа)
 - стилізований лічильник визначення часу приготування страви (обмеження не менш 1 хвилини)
 - стилізований select для додавання інгредієнта (по clickу на який має зʼявлятись випадаючий список інгредієнтів, отриманих заздалегідь з backendа)
 - input для додавання кількості обраного інгредієнта в рецепті
 - кнопку типу ""button"" Add ingredient+, по clickу на яку має зберігатись інформація про інгредієнт в переліку інгредієнтів у рецепті
 - перелік доданих інгредієнтів, що відмальовуються у вигляді списку карток з зображенням інгредієнта, його назвою, кількістю і кнопкою типу button, по clickу на яку відповідний інгредієнт має бути видалений з переліку
 - textarea для додавання інструкції щодо приготування рецепта з лічильником введених символів  (обмеження не більш 200 символів)
 - кнопку типу ""button"" у вигляді іконки-смітника, по clickу на яку всі поля форми мають бути очищеними
 - кнопку типу ""submit"" Publish, по clickу на яку 
   - має активуватись перевірка на валідність введених значень. Всі поля форми є обовʼязковими до заповнення. У разі, якщо введене значення не валідне, - користувача слід попередити про це, підсвітивши це поле червоним і поінформувавши його про причину невалідності значення
   - у разі, якщо всі введені значення є валідними, має відправлятись запит на backend щодо створення нового рецепту формату у вигляді обʼєкту FormData
   - якщо backend повернув помилку - необхідно її опрацювати і відобразити користувачеві у вигляді вспливаючого віконечка-notification
   - якщо запит на backend пройшов успішно, користувача слід перенаправити на сторінку UserPage",AddRecipeForm,👽,🐸,,
"UserPage - приватний маршрут ""/user/:id""",,Artem Getman,🐸,,
"Сторінка містить:
- PathInfo - універсальний компонент, що відмальовує посилання на сторінку HomePage та назву сторінки, на якій перебуває
користувач
- MainTitle - універсальний компонент, що відмальовує заголовок і використовується на різних сторінках застосунку
- Subtitle - універсальний компонент, що відмальовує підзаголовок і використовується на різних сторінках застосунку
- UserInfo
- Log Out - кнопку типу ""button"", по clickу на яку має відкриватись модальне вікно Modal, що містить LogOutModal
- кнопку типу ""button"" (на сторінці профілю іншого користувача)
  - Follow, по clickу на яку має відправлятись запит на backend про додавання відповідного користувача до переліку 
користувачів, за профілями яких слідкує авторизований користувач, (після чого, замість кнопки має відмалюватись кнопка 
Following)або
  - Following, по clickу на яку має відправлятись запит на backend про видалення відповідного користувача з переліку 
користувачів, за профілями яких слідкує авторизований користувач, (після чого, замість кнопки має відмалюватись 
кнопка Follow)
- TabsList
- ListItems з RecipePreview або UserCard (залежно від обраної вкладки)
- ListPagination",,Artem Getman,🐸,,
"Компонент складається з:
- аватарки користувача (у разі відсутності аватарки слід відмальовувати зображення по замовчуванню)
- input типу file, що відмальовується лише на сторінці власного профілю та надає можливість користувачеві додати аватарку
- додаткової інформації про користувача (email, кількість рецептів, створених користувачем, кількість улюблених рецептів, кількість користувачів, що слідкують за даним профілем, та кількість профілів, за якими слідкує користувач, чий профіль відкрито)",UserInfo,Artem Getman,🐸,,
"Компонент відповідає за відображення вкладок. 
Користувачеві, який перебуває на сторінці власного профілю, доступні такі вкладки, як:
- My recipes, що відповідає за рецепти, створені авторизованим користувачем
- My favorites, що відповідає за рецепти, додані авторизованим користувачем в улюблені
- Followers, що відповідає за перелік користувачів, які слідкують за профілем авторизованого користувача
- Following, що відповідає за перелік користувачів, за профілями яких слідкує авторизований користувач
Користувачеві, який перебуває на сторінці чужого профілю доступні вкладки:
- Recipes, що відповідає за рецепти, створені власником профілю
- Followers, що відповідає за перелік користувачів, які слідкують за власником профілю

По clickу на вкладку порядковий номер сторінки в ListPagination має набувати початкового значення 1, після чого слід відправляти відповідний запит на backend для отримання інформації з урахуванням параметрів пагінації. 

Якщо backend повернув помилку або не знайшов відповідної інформації в ListItems слід відмалювати зміст по замовчуванню.  Якщо запит на backend пройшов успішно, ListItems має відмалювати отриману інформацію. Активна вкладка має підсвічуватись.",TabsList,Artem Getman,🐸,,
"Компонент отримує в пропсах дані та відмальовує список RecipePreview або UserCard, залежно від обраної вкладки.",ListItems,Artem Getman,🐸,,
